"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-01",,,,,"64","24","62"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-02",,,,,"63","21","46"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-03",,,,,"64","29","54"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-04",,,,,"62","28","59"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-05",,,,,"59","24","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-06",,,,,"55","19","53"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-07",,,,,"60","23","59"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-08",,,,,"60","26","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-09",,,,,"59","30","56"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-10",,,,,"60","26","57"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-11",,,,,"57","25","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-12",,,,,"48","32","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-13",,,,,"44","34","34"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-14",,,,,"48","18","46"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-15",,,,,"57","24","56"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-16",,,,,"58","27","58"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-17",,,,,"62","26","57"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-18",,,,,"66","26","64"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-19",,,,,"64","36","60"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-20",,,,,"60","47","56"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-21",,,,,"56","43","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-22",,,,,"50","26","47"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-23",,,,,"47","25","45"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-24",,,,,"55","23","51"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-25",,,,,"62","38","59"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-26",,,,,"68","29","66"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-27",,,,,"75","33","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-28",,,,,"74","32","72"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-29",,,,,"72","33","67"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-30",,,,,"67","34","67"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-05-31",,,,,"70","32","68"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-01",,,,,"74","34","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-02",,,,,"76","36","73"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-03",,,,,"73","41","63"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-04",,,,,"67","31","62"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-05",,,,,"62","44","44"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-06",,,,,"52","36","46"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-07",,,,,"54","36","52"
"USW00093230","SOUTH LAKE TAHOE AIRPORT, CA US","1968-06-08",,,,,"59","31","54"
